"cell_name","wall_position","mix","H2228_prop","H1975_prop","HCC827_prop","mRNA_amount","group"
"CelSeq2_Mixture_Sample_A1","A1",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A2","A2",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A3","A3",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A4","A4",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A5","A5",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A6","A6",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A7","A7",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A8","A8",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A9","A9",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A10","A10",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A11","A11",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A12","A12",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A13","A13",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A14","A14",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A15","A15",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A16","A16",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A17","A17",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A18","A18",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A19","A19",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A20","A20",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A21","A21",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A22","A22",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A23","A23",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_A24","A24",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B1","B1",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B2","B2",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B3","B3",1,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B4","B4",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B5","B5",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B6","B6",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B7","B7",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B8","B8",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B9","B9",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B10","B10",1,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B11","B11",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B12","B12",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B13","B13",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B14","B14",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B15","B15",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B16","B16",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B17","B17",1,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B18","B18",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B19","B19",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B20","B20",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B21","B21",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B22","B22",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B23","B23",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_B24","B24",1,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C1","C1",2,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C2","C2",2,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C3","C3",2,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C4","C4",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C5","C5",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C6","C6",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C7","C7",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C8","C8",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C9","C9",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C10","C10",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C11","C11",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C12","C12",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C13","C13",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C14","C14",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C15","C15",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C16","C16",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C17","C17",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C18","C18",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C19","C19",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C20","C20",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C21","C21",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C22","C22",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C23","C23",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_C24","C24",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D1","D1",2,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D2","D2",2,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D3","D3",2,0.33,0.33,0.33,3.75,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D4","D4",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D5","D5",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D6","D6",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D7","D7",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D8","D8",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D9","D9",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D10","D10",2,0.33,0.33,0.33,7.5,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D11","D11",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D12","D12",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D13","D13",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D14","D14",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D15","D15",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D16","D16",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D17","D17",2,0.33,0.33,0.33,15,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D18","D18",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D19","D19",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D20","D20",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D21","D21",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D22","D22",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D23","D23",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_D24","D24",2,0.33,0.33,0.33,30,"0.33_0.33_0.33"
"CelSeq2_Mixture_Sample_E1","E1",3,1,0,0,3.75,"1_0_0"
"CelSeq2_Mixture_Sample_E2","E2",3,1,0,0,3.75,"1_0_0"
"CelSeq2_Mixture_Sample_E3","E3",3,1,0,0,3.75,"1_0_0"
"CelSeq2_Mixture_Sample_E4","E4",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_E5","E5",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_E6","E6",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_E7","E7",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_E8","E8",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_E9","E9",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_E10","E10",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_E11","E11",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_E12","E12",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_E13","E13",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_E14","E14",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_E15","E15",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_E16","E16",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_E17","E17",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_E18","E18",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_E19","E19",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_E20","E20",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_E21","E21",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_E22","E22",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_E23","E23",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_E24","E24",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_F1","F1",3,1,0,0,3.75,"1_0_0"
"CelSeq2_Mixture_Sample_F2","F2",3,1,0,0,3.75,"1_0_0"
"CelSeq2_Mixture_Sample_F3","F3",3,1,0,0,3.75,"1_0_0"
"CelSeq2_Mixture_Sample_F4","F4",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_F5","F5",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_F6","F6",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_F7","F7",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_F8","F8",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_F9","F9",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_F10","F10",3,1,0,0,7.5,"1_0_0"
"CelSeq2_Mixture_Sample_F11","F11",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_F12","F12",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_F13","F13",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_F14","F14",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_F15","F15",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_F16","F16",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_F17","F17",3,1,0,0,15,"1_0_0"
"CelSeq2_Mixture_Sample_F18","F18",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_F19","F19",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_F20","F20",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_F21","F21",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_F22","F22",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_F23","F23",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_F24","F24",3,1,0,0,30,"1_0_0"
"CelSeq2_Mixture_Sample_G1","G1",4,0,1,0,3.75,"0_1_0"
"CelSeq2_Mixture_Sample_G2","G2",4,0,1,0,3.75,"0_1_0"
"CelSeq2_Mixture_Sample_G3","G3",4,0,1,0,3.75,"0_1_0"
"CelSeq2_Mixture_Sample_G4","G4",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_G5","G5",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_G6","G6",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_G7","G7",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_G8","G8",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_G9","G9",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_G10","G10",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_G11","G11",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_G12","G12",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_G13","G13",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_G14","G14",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_G15","G15",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_G16","G16",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_G17","G17",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_G18","G18",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_G19","G19",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_G20","G20",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_G21","G21",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_G22","G22",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_G23","G23",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_G24","G24",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_H1","H1",4,0,1,0,3.75,"0_1_0"
"CelSeq2_Mixture_Sample_H2","H2",4,0,1,0,3.75,"0_1_0"
"CelSeq2_Mixture_Sample_H3","H3",4,0,1,0,3.75,"0_1_0"
"CelSeq2_Mixture_Sample_H4","H4",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_H5","H5",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_H6","H6",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_H7","H7",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_H8","H8",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_H9","H9",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_H10","H10",4,0,1,0,7.5,"0_1_0"
"CelSeq2_Mixture_Sample_H11","H11",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_H12","H12",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_H13","H13",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_H14","H14",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_H15","H15",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_H16","H16",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_H17","H17",4,0,1,0,15,"0_1_0"
"CelSeq2_Mixture_Sample_H18","H18",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_H19","H19",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_H20","H20",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_H21","H21",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_H22","H22",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_H23","H23",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_H24","H24",4,0,1,0,30,"0_1_0"
"CelSeq2_Mixture_Sample_I1","I1",5,0,0,1,3.75,"0_0_1"
"CelSeq2_Mixture_Sample_I2","I2",5,0,0,1,3.75,"0_0_1"
"CelSeq2_Mixture_Sample_I3","I3",5,0,0,1,3.75,"0_0_1"
"CelSeq2_Mixture_Sample_I4","I4",5,0,0,1,7.5,"0_0_1"
"CelSeq2_Mixture_Sample_I5","I5",5,0,0,1,7.5,"0_0_1"
"CelSeq2_Mixture_Sample_I6","I6",5,0,0,1,7.5,"0_0_1"
"CelSeq2_Mixture_Sample_I7","I7",5,0,0,1,7.5,"0_0_1"
