"cell_name","well_position","H1975","H2228","HCC827","poor_quality","traj","group"
"Mix2_A24","A24",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_A23","A23",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_A22","A22",0,0,9,"NO","YES","0_0_9"
"Mix2_A21","A21",0,0,9,"NO","YES","0_0_9"
"Mix2_A20","A20",0,0,9,"NO","YES","0_0_9"
"Mix2_A19","A19",0,0,9,"NO","YES","0_0_9"
"Mix2_A18","A18",0,0,9,"NO","YES","0_0_9"
"Mix2_A17","A17",0,0,9,"NO","YES","0_0_9"
"Mix2_A16","A16",0,0,9,"NO","YES","0_0_9"
"Mix2_A15","A15",0,0,9,"NO","YES","0_0_9"
"Mix2_A14","A14",0,0,9,"NO","YES","0_0_9"
"Mix2_A13","A13",0,0,9,"NO","YES","0_0_9"
"Mix2_A12","A12",0,0,9,"NO","YES","0_0_9"
"Mix2_A11","A11",0,0,9,"NO","YES","0_0_9"
"Mix2_A10","A10",0,0,9,"NO","YES","0_0_9"
"Mix2_A9","A9",0,0,9,"NO","YES","0_0_9"
"Mix2_A8","A8",0,0,9,"NO","YES","0_0_9"
"Mix2_A7","A7",0,0,9,"NO","YES","0_0_9"
"Mix2_A6","A6",0,0,9,"NO","YES","0_0_9"
"Mix2_A5","A5",0,0,9,"NO","YES","0_0_9"
"Mix2_A4","A4",0,0,9,"NO","YES","0_0_9"
"Mix2_A3","A3",0,0,9,"NO","YES","0_0_9"
"Mix2_A2","A2",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_A1","A1",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_B24","B24",0,1,8,"NO","NO","1_0_8"
"Mix2_B23","B23",0,1,8,"NO","NO","1_0_8"
"Mix2_B22","B22",0,1,8,"NO","NO","1_0_8"
"Mix2_B21","B21",0,1,8,"NO","NO","1_0_8"
"Mix2_B20","B20",0,1,8,"NO","NO","1_0_8"
"Mix2_B19","B19",0,2,7,"NO","NO","2_0_7"
"Mix2_B18","B18",0,2,7,"NO","NO","2_0_7"
"Mix2_B17","B17",0,2,7,"NO","NO","2_0_7"
"Mix2_B16","B16",0,2,7,"NO","NO","2_0_7"
"Mix2_B15","B15",0,2,7,"NO","NO","2_0_7"
"Mix2_B14","B14",0,3,6,"NO","NO","3_0_6"
"Mix2_B13","B13",0,3,6,"NO","NO","3_0_6"
"Mix2_B12","B12",0,3,6,"NO","NO","3_0_6"
"Mix2_B11","B11",0,3,6,"NO","NO","3_0_6"
"Mix2_B10","B10",0,3,6,"NO","NO","3_0_6"
"Mix2_B9","B9",0,4,5,"NO","NO","4_0_5"
"Mix2_B8","B8",0,4,5,"NO","NO","4_0_5"
"Mix2_B7","B7",0,4,5,"NO","NO","4_0_5"
"Mix2_B6","B6",0,4,5,"NO","NO","4_0_5"
"Mix2_B5","B5",0,4,5,"NO","NO","4_0_5"
"Mix2_B4","B4",0,5,4,"NO","NO","5_0_4"
"Mix2_B3","B3",0,5,4,"NO","NO","5_0_4"
"Mix2_B2","B2",0,5,4,"NO","NO","5_0_4"
"Mix2_B1","B1",0,5,4,"NO","NO","5_0_4"
"Mix2_C24","C24",0,5,4,"NO","NO","5_0_4"
"Mix2_C23","C23",0,6,3,"NO","NO","6_0_3"
"Mix2_C22","C22",0,6,3,"NO","NO","6_0_3"
"Mix2_C21","C21",0,6,3,"NO","NO","6_0_3"
"Mix2_C20","C20",0,6,3,"NO","NO","6_0_3"
"Mix2_C19","C19",0,6,3,"NO","NO","6_0_3"
"Mix2_C18","C18",0,7,2,"NO","NO","7_0_2"
"Mix2_C17","C17",0,7,2,"NO","NO","7_0_2"
"Mix2_C16","C16",0,7,2,"NO","NO","7_0_2"
"Mix2_C15","C15",0,7,2,"NO","NO","7_0_2"
"Mix2_C14","C14",0,7,2,"NO","NO","7_0_2"
"Mix2_C13","C13",0,8,1,"NO","NO","8_0_1"
"Mix2_C12","C12",0,8,1,"NO","NO","8_0_1"
"Mix2_C11","C11",0,8,1,"NO","NO","8_0_1"
"Mix2_C10","C10",0,8,1,"NO","NO","8_0_1"
"Mix2_C9","C9",0,8,1,"NO","NO","8_0_1"
"Mix2_C8","C8",0,9,0,"NO","YES","9_0_0"
"Mix2_C7","C7",0,9,0,"NO","YES","9_0_0"
"Mix2_C6","C6",0,9,0,"NO","YES","9_0_0"
"Mix2_C5","C5",0,9,0,"NO","YES","9_0_0"
"Mix2_C4","C4",0,9,0,"NO","YES","9_0_0"
"Mix2_C3","C3",0,9,0,"NO","YES","9_0_0"
"Mix2_C2","C2",0,9,0,"NO","YES","9_0_0"
"Mix2_C1","C1",0,9,0,"NO","YES","9_0_0"
"Mix2_D24","D24",0,9,0,"NO","YES","9_0_0"
"Mix2_D23","D23",0,9,0,"NO","YES","9_0_0"
"Mix2_D22","D22",0,9,0,"NO","YES","9_0_0"
"Mix2_D21","D21",0,9,0,"NO","YES","9_0_0"
"Mix2_D20","D20",0,9,0,"NO","YES","9_0_0"
"Mix2_D19","D19",0,9,0,"NO","YES","9_0_0"
"Mix2_D18","D18",0,9,0,"NO","YES","9_0_0"
"Mix2_D17","D17",0,9,0,"NO","YES","9_0_0"
"Mix2_D16","D16",0,9,0,"NO","YES","9_0_0"
"Mix2_D15","D15",0,9,0,"NO","YES","9_0_0"
"Mix2_D14","D14",0,9,0,"NO","YES","9_0_0"
"Mix2_D13","D13",0,9,0,"NO","YES","9_0_0"
"Mix2_D12","D12",1,0,8,"NO","NO","0_1_8"
"Mix2_D11","D11",1,0,8,"NO","NO","0_1_8"
"Mix2_D10","D10",1,0,8,"NO","NO","0_1_8"
"Mix2_D9","D9",1,0,8,"NO","NO","0_1_8"
"Mix2_D8","D8",1,0,8,"NO","NO","0_1_8"
"Mix2_D7","D7",1,1,7,"NO","YES","1_1_7"
"Mix2_D6","D6",1,1,7,"NO","YES","1_1_7"
"Mix2_D5","D5",1,1,7,"NO","YES","1_1_7"
"Mix2_D4","D4",1,1,7,"NO","YES","1_1_7"
"Mix2_D3","D3",1,1,7,"NO","YES","1_1_7"
"Mix2_D2","D2",1,1,7,"NO","YES","1_1_7"
"Mix2_D1","D1",1,1,7,"NO","YES","1_1_7"
"Mix2_E24","E24",1,1,7,"NO","YES","1_1_7"
"Mix2_E23","E23",1,1,7,"NO","YES","1_1_7"
"Mix2_E22","E22",1,1,7,"NO","YES","1_1_7"
"Mix2_E21","E21",1,1,7,"NO","YES","1_1_7"
"Mix2_E20","E20",1,1,7,"NO","YES","1_1_7"
"Mix2_E19","E19",1,1,7,"NO","YES","1_1_7"
"Mix2_E18","E18",1,1,7,"NO","YES","1_1_7"
"Mix2_E17","E17",1,1,7,"NO","YES","1_1_7"
"Mix2_E16","E16",1,1,7,"NO","YES","1_1_7"
"Mix2_E15","E15",1,1,7,"NO","YES","1_1_7"
"Mix2_E14","E14",1,1,7,"NO","YES","1_1_7"
"Mix2_E13","E13",1,1,7,"NO","YES","1_1_7"
"Mix2_E12","E12",1,1,7,"NO","YES","1_1_7"
"Mix2_E11","E11",1,7,1,"NO","YES","7_1_1"
"Mix2_E10","E10",1,7,1,"NO","YES","7_1_1"
"Mix2_E9","E9",1,7,1,"NO","YES","7_1_1"
"Mix2_E8","E8",1,7,1,"NO","YES","7_1_1"
"Mix2_E7","E7",1,7,1,"NO","YES","7_1_1"
"Mix2_E6","E6",1,7,1,"NO","YES","7_1_1"
"Mix2_E5","E5",1,7,1,"NO","YES","7_1_1"
"Mix2_E4","E4",1,7,1,"NO","YES","7_1_1"
"Mix2_E3","E3",1,7,1,"NO","YES","7_1_1"
"Mix2_E2","E2",1,7,1,"NO","YES","7_1_1"
"Mix2_E1","E1",1,7,1,"NO","YES","7_1_1"
"Mix2_F24","F24",1,7,1,"NO","YES","7_1_1"
"Mix2_F23","F23",1,7,1,"NO","YES","7_1_1"
"Mix2_F22","F22",1,7,1,"NO","YES","7_1_1"
"Mix2_F21","F21",1,7,1,"NO","YES","7_1_1"
"Mix2_F20","F20",1,7,1,"NO","YES","7_1_1"
"Mix2_F19","F19",1,7,1,"NO","YES","7_1_1"
"Mix2_F18","F18",1,7,1,"NO","YES","7_1_1"
"Mix2_F17","F17",1,7,1,"NO","YES","7_1_1"
"Mix2_F16","F16",1,7,1,"NO","YES","7_1_1"
"Mix2_F15","F15",1,8,0,"NO","NO","8_1_0"
"Mix2_F14","F14",1,8,0,"NO","NO","8_1_0"
"Mix2_F13","F13",1,8,0,"NO","NO","8_1_0"
"Mix2_F12","F12",1,8,0,"NO","NO","8_1_0"
"Mix2_F11","F11",1,8,0,"NO","NO","8_1_0"
"Mix2_F10","F10",2,0,7,"NO","NO","0_2_7"
"Mix2_F9","F9",2,0,7,"NO","NO","0_2_7"
"Mix2_F8","F8",2,0,7,"NO","NO","0_2_7"
"Mix2_F7","F7",2,0,7,"NO","NO","0_2_7"
"Mix2_F6","F6",2,0,7,"NO","NO","0_2_7"
"Mix2_F5","F5",2,2,5,"NO","YES","2_2_5"
"Mix2_F4","F4",2,2,5,"NO","YES","2_2_5"
"Mix2_F3","F3",2,2,5,"NO","YES","2_2_5"
"Mix2_F2","F2",2,2,5,"NO","YES","2_2_5"
"Mix2_F1","F1",2,2,5,"NO","YES","2_2_5"
"Mix2_G24","G24",2,2,5,"NO","YES","2_2_5"
"Mix2_G23","G23",2,2,5,"NO","YES","2_2_5"
"Mix2_G22","G22",2,2,5,"NO","YES","2_2_5"
"Mix2_G21","G21",2,2,5,"NO","YES","2_2_5"
"Mix2_G20","G20",2,2,5,"NO","YES","2_2_5"
"Mix2_G19","G19",2,2,5,"NO","YES","2_2_5"
"Mix2_G18","G18",2,2,5,"NO","YES","2_2_5"
"Mix2_G17","G17",2,2,5,"NO","YES","2_2_5"
"Mix2_G16","G16",2,2,5,"NO","YES","2_2_5"
"Mix2_G15","G15",2,2,5,"NO","YES","2_2_5"
"Mix2_G14","G14",2,2,5,"NO","YES","2_2_5"
"Mix2_G13","G13",2,2,5,"NO","YES","2_2_5"
"Mix2_G12","G12",2,2,5,"NO","YES","2_2_5"
"Mix2_G11","G11",2,2,5,"NO","YES","2_2_5"
"Mix2_G10","G10",2,2,5,"NO","YES","2_2_5"
"Mix2_G9","G9",2,5,2,"NO","YES","5_2_2"
"Mix2_G8","G8",2,5,2,"NO","YES","5_2_2"
"Mix2_G7","G7",2,5,2,"NO","YES","5_2_2"
"Mix2_G6","G6",2,5,2,"NO","YES","5_2_2"
"Mix2_G5","G5",2,5,2,"NO","YES","5_2_2"
"Mix2_G4","G4",2,5,2,"NO","YES","5_2_2"
"Mix2_G3","G3",2,5,2,"NO","YES","5_2_2"
"Mix2_G2","G2",2,5,2,"NO","YES","5_2_2"
"Mix2_G1","G1",2,5,2,"NO","YES","5_2_2"
"Mix2_H24","H24",2,5,2,"NO","YES","5_2_2"
"Mix2_H23","H23",2,5,2,"NO","YES","5_2_2"
"Mix2_H22","H22",2,5,2,"NO","YES","5_2_2"
"Mix2_H21","H21",2,5,2,"NO","YES","5_2_2"
"Mix2_H20","H20",2,5,2,"NO","YES","5_2_2"
"Mix2_H19","H19",2,5,2,"NO","YES","5_2_2"
"Mix2_H18","H18",2,5,2,"NO","YES","5_2_2"
"Mix2_H17","H17",2,5,2,"NO","YES","5_2_2"
"Mix2_H16","H16",2,5,2,"NO","YES","5_2_2"
"Mix2_H15","H15",2,5,2,"NO","YES","5_2_2"
"Mix2_H14","H14",2,5,2,"NO","YES","5_2_2"
"Mix2_H13","H13",2,7,0,"NO","NO","7_2_0"
"Mix2_H12","H12",2,7,0,"NO","NO","7_2_0"
"Mix2_H11","H11",2,7,0,"NO","NO","7_2_0"
"Mix2_H10","H10",2,7,0,"NO","NO","7_2_0"
"Mix2_H9","H9",2,7,0,"NO","NO","7_2_0"
"Mix2_H8","H8",3,0,6,"NO","NO","0_3_6"
"Mix2_H7","H7",3,0,6,"NO","NO","0_3_6"
"Mix2_H6","H6",3,0,6,"NO","NO","0_3_6"
"Mix2_H5","H5",3,0,6,"NO","NO","0_3_6"
"Mix2_H4","H4",3,0,6,"NO","NO","0_3_6"
"Mix2_H3","H3",3,3,3,"NO","YES","3_3_3"
"Mix2_H2","H2",3,3,3,"NO","YES","3_3_3"
"Mix2_H1","H1",3,3,3,"NO","YES","3_3_3"
"Mix2_I24","I24",3,3,3,"NO","YES","3_3_3"
"Mix2_I23","I23",3,3,3,"NO","YES","3_3_3"
"Mix2_I22","I22",3,3,3,"NO","YES","3_3_3"
"Mix2_I21","I21",3,3,3,"NO","YES","3_3_3"
"Mix2_I20","I20",3,3,3,"NO","YES","3_3_3"
"Mix2_I19","I19",3,3,3,"NO","YES","3_3_3"
"Mix2_I18","I18",3,3,3,"NO","YES","3_3_3"
"Mix2_I17","I17",3,3,3,"NO","YES","3_3_3"
"Mix2_I16","I16",3,3,3,"NO","YES","3_3_3"
"Mix2_I15","I15",3,3,3,"NO","YES","3_3_3"
"Mix2_I14","I14",3,3,3,"NO","YES","3_3_3"
"Mix2_I13","I13",3,3,3,"NO","YES","3_3_3"
"Mix2_I12","I12",3,3,3,"NO","YES","3_3_3"
"Mix2_I11","I11",3,3,3,"NO","YES","3_3_3"
"Mix2_I10","I10",3,3,3,"NO","YES","3_3_3"
"Mix2_I9","I9",3,3,3,"NO","YES","3_3_3"
"Mix2_I8","I8",3,3,3,"NO","YES","3_3_3"
"Mix2_I7","I7",3,6,0,"NO","NO","6_3_0"
"Mix2_I6","I6",3,6,0,"NO","NO","6_3_0"
"Mix2_I5","I5",3,6,0,"NO","NO","6_3_0"
"Mix2_I4","I4",3,6,0,"NO","NO","6_3_0"
"Mix2_I3","I3",3,6,0,"NO","NO","6_3_0"
"Mix2_I2","I2",4,0,5,"NO","NO","0_4_5"
"Mix2_I1","I1",4,0,5,"NO","NO","0_4_5"
"Mix2_J24","J24",4,0,5,"NO","NO","0_4_5"
"Mix2_J23","J23",4,0,5,"NO","NO","0_4_5"
"Mix2_J22","J22",4,0,5,"NO","NO","0_4_5"
"Mix2_J21","J21",4,5,0,"NO","NO","5_4_0"
"Mix2_J20","J20",4,5,0,"NO","NO","5_4_0"
"Mix2_J19","J19",4,5,0,"NO","NO","5_4_0"
"Mix2_J18","J18",4,5,0,"NO","NO","5_4_0"
"Mix2_J17","J17",4,5,0,"NO","NO","5_4_0"
"Mix2_J16","J16",5,0,4,"NO","NO","0_5_4"
"Mix2_J15","J15",5,0,4,"NO","NO","0_5_4"
"Mix2_J14","J14",5,0,4,"NO","NO","0_5_4"
"Mix2_J13","J13",5,0,4,"NO","NO","0_5_4"
"Mix2_J12","J12",5,0,4,"NO","NO","0_5_4"
"Mix2_J11","J11",5,2,2,"NO","YES","2_5_2"
"Mix2_J10","J10",5,2,2,"NO","YES","2_5_2"
"Mix2_J9","J9",5,2,2,"NO","YES","2_5_2"
"Mix2_J8","J8",5,2,2,"NO","YES","2_5_2"
"Mix2_J7","J7",5,2,2,"NO","YES","2_5_2"
"Mix2_J6","J6",5,2,2,"NO","YES","2_5_2"
"Mix2_J5","J5",5,2,2,"NO","YES","2_5_2"
"Mix2_J4","J4",5,2,2,"NO","YES","2_5_2"
"Mix2_J3","J3",5,2,2,"NO","YES","2_5_2"
"Mix2_J2","J2",5,2,2,"NO","YES","2_5_2"
"Mix2_J1","J1",5,2,2,"NO","YES","2_5_2"
"Mix2_K24","K24",5,2,2,"NO","YES","2_5_2"
"Mix2_K23","K23",5,2,2,"NO","YES","2_5_2"
"Mix2_K22","K22",5,2,2,"NO","YES","2_5_2"
"Mix2_K21","K21",5,2,2,"NO","YES","2_5_2"
"Mix2_K20","K20",5,2,2,"NO","YES","2_5_2"
"Mix2_K19","K19",5,2,2,"NO","YES","2_5_2"
"Mix2_K18","K18",5,2,2,"NO","YES","2_5_2"
"Mix2_K17","K17",5,2,2,"NO","YES","2_5_2"
"Mix2_K16","K16",5,2,2,"NO","YES","2_5_2"
"Mix2_K15","K15",5,4,0,"NO","NO","4_5_0"
"Mix2_K14","K14",5,4,0,"NO","NO","4_5_0"
"Mix2_K13","K13",5,4,0,"NO","NO","4_5_0"
"Mix2_K12","K12",5,4,0,"NO","NO","4_5_0"
"Mix2_K11","K11",5,4,0,"NO","NO","4_5_0"
"Mix2_K10","K10",6,0,3,"NO","NO","0_6_3"
"Mix2_K9","K9",6,0,3,"NO","NO","0_6_3"
"Mix2_K8","K8",6,0,3,"NO","NO","0_6_3"
"Mix2_K7","K7",6,0,3,"NO","NO","0_6_3"
"Mix2_K6","K6",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_K5","K5",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_K4","K4",6,0,3,"NO","NO","0_6_3"
"Mix2_K3","K3",6,3,0,"NO","NO","3_6_0"
"Mix2_K2","K2",6,3,0,"NO","NO","3_6_0"
"Mix2_K1","K1",6,3,0,"NO","NO","3_6_0"
"Mix2_L24","L24",6,3,0,"NO","NO","3_6_0"
"Mix2_L23","L23",6,3,0,"NO","NO","3_6_0"
"Mix2_L22","L22",7,0,2,"NO","NO","0_7_2"
"Mix2_L21","L21",7,0,2,"NO","NO","0_7_2"
"Mix2_L20","L20",7,0,2,"NO","NO","0_7_2"
"Mix2_L19","L19",7,0,2,"NO","NO","0_7_2"
"Mix2_L18","L18",7,0,2,"NO","NO","0_7_2"
"Mix2_L17","L17",7,1,1,"NO","YES","1_7_1"
"Mix2_L16","L16",7,1,1,"NO","YES","1_7_1"
"Mix2_L15","L15",7,1,1,"NO","YES","1_7_1"
"Mix2_L14","L14",7,1,1,"NO","YES","1_7_1"
"Mix2_L13","L13",7,1,1,"NO","YES","1_7_1"
"Mix2_L12","L12",7,1,1,"NO","YES","1_7_1"
"Mix2_L11","L11",7,1,1,"NO","YES","1_7_1"
"Mix2_L10","L10",7,1,1,"NO","YES","1_7_1"
"Mix2_L9","L9",7,1,1,"NO","YES","1_7_1"
"Mix2_L8","L8",7,1,1,"NO","YES","1_7_1"
"Mix2_L7","L7",7,1,1,"NO","YES","1_7_1"
"Mix2_L6","L6",7,1,1,"NO","YES","1_7_1"
"Mix2_L5","L5",7,1,1,"NO","YES","1_7_1"
"Mix2_L4","L4",7,1,1,"NO","YES","1_7_1"
"Mix2_L3","L3",7,1,1,"NO","YES","1_7_1"
"Mix2_L2","L2",7,1,1,"NO","YES","1_7_1"
"Mix2_L1","L1",7,1,1,"NO","YES","1_7_1"
"Mix2_M24","M24",7,1,1,"NO","YES","1_7_1"
"Mix2_M23","M23",7,1,1,"NO","YES","1_7_1"
"Mix2_M22","M22",7,1,1,"NO","YES","1_7_1"
"Mix2_M21","M21",7,2,0,"NO","NO","2_7_0"
"Mix2_M20","M20",7,2,0,"NO","NO","2_7_0"
"Mix2_M19","M19",7,2,0,"NO","NO","2_7_0"
"Mix2_M18","M18",7,2,0,"NO","NO","2_7_0"
"Mix2_M17","M17",7,2,0,"NO","NO","2_7_0"
"Mix2_M16","M16",8,0,1,"NO","NO","0_8_1"
"Mix2_M15","M15",8,0,1,"NO","NO","0_8_1"
"Mix2_M14","M14",8,0,1,"NO","NO","0_8_1"
"Mix2_M13","M13",8,0,1,"NO","NO","0_8_1"
"Mix2_M12","M12",8,0,1,"NO","NO","0_8_1"
"Mix2_M11","M11",8,1,0,"NO","NO","1_8_0"
"Mix2_M10","M10",8,1,0,"NO","NO","1_8_0"
"Mix2_M9","M9",8,1,0,"NO","NO","1_8_0"
"Mix2_M8","M8",8,1,0,"NO","NO","1_8_0"
"Mix2_M7","M7",8,1,0,"NO","NO","1_8_0"
"Mix2_M6","M6",9,0,0,"NO","YES","0_9_0"
"Mix2_M5","M5",9,0,0,"NO","YES","0_9_0"
"Mix2_M4","M4",9,0,0,"NO","YES","0_9_0"
"Mix2_M3","M3",9,0,0,"NO","YES","0_9_0"
"Mix2_M2","M2",9,0,0,"NO","YES","0_9_0"
"Mix2_M1","M1",9,0,0,"NO","YES","0_9_0"
"Mix2_N24","N24",9,0,0,"NO","YES","0_9_0"
"Mix2_N23","N23",9,0,0,"NO","YES","0_9_0"
"Mix2_N22","N22",9,0,0,"NO","YES","0_9_0"
"Mix2_N21","N21",9,0,0,"NO","YES","0_9_0"
"Mix2_N20","N20",9,0,0,"NO","YES","0_9_0"
"Mix2_N19","N19",9,0,0,"NO","YES","0_9_0"
"Mix2_N18","N18",9,0,0,"NO","YES","0_9_0"
"Mix2_N17","N17",9,0,0,"NO","YES","0_9_0"
"Mix2_N16","N16",9,0,0,"NO","YES","0_9_0"
"Mix2_N15","N15",9,0,0,"NO","YES","0_9_0"
"Mix2_N14","N14",9,0,0,"NO","YES","0_9_0"
"Mix2_N13","N13",9,0,0,"NO","YES","0_9_0"
"Mix2_N12","N12",9,0,0,"NO","YES","0_9_0"
"Mix2_N11","N11",9,0,0,"NO","YES","0_9_0"
"Mix2_N10","N10",1,1,1,"NO","NO","1_1_1"
"Mix2_N9","N9",1,1,1,"NO","NO","1_1_1"
"Mix2_N8","N8",1,1,1,"NO","NO","1_1_1"
"Mix2_N7","N7",1,1,1,"NO","NO","1_1_1"
"Mix2_N6","N6",1,1,1,"NO","NO","1_1_1"
"Mix2_N5","N5",1,1,1,"NO","NO","1_1_1"
"Mix2_N4","N4",1,1,1,"NO","NO","1_1_1"
"Mix2_N3","N3",1,1,1,"NO","NO","1_1_1"
"Mix2_N2","N2",1,1,1,"NO","NO","1_1_1"
"Mix2_N1","N1",1,1,1,"NO","NO","1_1_1"
"Mix2_P24","P24",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_P23","P23",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_P22","P22",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_P21","P21",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_P20","P20",3,3,3,"YES","NO","3_3_3"
"Mix2_P19","P19",3,3,3,"YES","NO","3_3_3"
"Mix2_P18","P18",3,3,3,"YES","NO","3_3_3"
"Mix2_P17","P17",3,3,3,"YES","NO","3_3_3"
"Mix2_P16","P16",3,3,3,"YES","NO","3_3_3"
"Mix2_P15","P15",3,3,3,"YES","NO","3_3_3"
"Mix2_P14","P14",3,3,3,"YES","NO","3_3_3"
"Mix2_P13","P13",3,3,3,"YES","NO","3_3_3"
"Mix2_P12","P12",3,3,3,"YES","NO","3_3_3"
"Mix2_P11","P11",3,3,3,"YES","NO","3_3_3"
"Mix2_P10","P10",3,3,3,"YES","NO","3_3_3"
"Mix2_P9","P9",3,3,3,"YES","NO","3_3_3"
"Mix2_P8","P8",3,3,3,"YES","NO","3_3_3"
"Mix2_P7","P7",3,3,3,"YES","NO","3_3_3"
"Mix2_P6","P6",3,3,3,"YES","NO","3_3_3"
"Mix2_P5","P5",3,3,3,"YES","NO","3_3_3"
"Mix2_P4","P4",3,3,3,"YES","NO","3_3_3"
"Mix2_P3","P3",3,3,3,"YES","NO","3_3_3"
"Mix2_P2","P2",NA,NA,NA,"NO","NO","NA_NA_NA"
"Mix2_P1","P1",NA,NA,NA,"NO","NO","NA_NA_NA"
