"rows","cols","wall_position","H1975","H2228","HCC827","poor_quality","traj"
16,24,"A24",NA,NA,NA,"NO","NO"
16,23,"A23",NA,NA,NA,"NO","NO"
16,22,"A22",0,0,9,"NO","YES"
16,21,"A21",0,0,9,"NO","YES"
16,20,"A20",0,0,9,"NO","YES"
16,19,"A19",0,0,9,"NO","YES"
16,18,"A18",0,0,9,"NO","YES"
16,17,"A17",0,0,9,"NO","YES"
16,16,"A16",0,0,9,"NO","YES"
16,15,"A15",0,0,9,"NO","YES"
16,14,"A14",0,0,9,"NO","YES"
16,13,"A13",0,0,9,"NO","YES"
16,12,"A12",0,0,9,"NO","YES"
16,11,"A11",0,0,9,"NO","YES"
16,10,"A10",0,0,9,"NO","YES"
16,9,"A9",0,0,9,"NO","YES"
16,8,"A8",0,0,9,"NO","YES"
16,7,"A7",0,0,9,"NO","YES"
16,6,"A6",0,0,9,"NO","YES"
16,5,"A5",0,0,9,"NO","YES"
16,4,"A4",0,0,9,"NO","YES"
16,3,"A3",0,0,9,"NO","YES"
16,2,"A2",NA,NA,NA,"NO","NO"
16,1,"A1",NA,NA,NA,"NO","NO"
15,24,"B24",0,1,8,"NO","NO"
15,23,"B23",0,1,8,"NO","NO"
15,22,"B22",0,1,8,"NO","NO"
15,21,"B21",0,1,8,"NO","NO"
15,20,"B20",0,1,8,"NO","NO"
15,19,"B19",0,2,7,"NO","NO"
15,18,"B18",0,2,7,"NO","NO"
15,17,"B17",0,2,7,"NO","NO"
15,16,"B16",0,2,7,"NO","NO"
15,15,"B15",0,2,7,"NO","NO"
15,14,"B14",0,3,6,"NO","NO"
15,13,"B13",0,3,6,"NO","NO"
15,12,"B12",0,3,6,"NO","NO"
15,11,"B11",0,3,6,"NO","NO"
15,10,"B10",0,3,6,"NO","NO"
15,9,"B9",0,4,5,"NO","NO"
15,8,"B8",0,4,5,"NO","NO"
15,7,"B7",0,4,5,"NO","NO"
15,6,"B6",0,4,5,"NO","NO"
15,5,"B5",0,4,5,"NO","NO"
15,4,"B4",0,5,4,"NO","NO"
15,3,"B3",0,5,4,"NO","NO"
15,2,"B2",0,5,4,"NO","NO"
15,1,"B1",0,5,4,"NO","NO"
14,24,"C24",0,5,4,"NO","NO"
14,23,"C23",0,6,3,"NO","NO"
14,22,"C22",0,6,3,"NO","NO"
14,21,"C21",0,6,3,"NO","NO"
14,20,"C20",0,6,3,"NO","NO"
14,19,"C19",0,6,3,"NO","NO"
14,18,"C18",0,7,2,"NO","NO"
14,17,"C17",0,7,2,"NO","NO"
14,16,"C16",0,7,2,"NO","NO"
14,15,"C15",0,7,2,"NO","NO"
14,14,"C14",0,7,2,"NO","NO"
14,13,"C13",0,8,1,"NO","NO"
14,12,"C12",0,8,1,"NO","NO"
14,11,"C11",0,8,1,"NO","NO"
14,10,"C10",0,8,1,"NO","NO"
14,9,"C9",0,8,1,"NO","NO"
14,8,"C8",0,9,0,"NO","YES"
14,7,"C7",0,9,0,"NO","YES"
14,6,"C6",0,9,0,"NO","YES"
14,5,"C5",0,9,0,"NO","YES"
14,4,"C4",0,9,0,"NO","YES"
14,3,"C3",0,9,0,"NO","YES"
14,2,"C2",0,9,0,"NO","YES"
14,1,"C1",0,9,0,"NO","YES"
13,24,"D24",0,9,0,"NO","YES"
13,23,"D23",0,9,0,"NO","YES"
13,22,"D22",0,9,0,"NO","YES"
13,21,"D21",0,9,0,"NO","YES"
13,20,"D20",0,9,0,"NO","YES"
13,19,"D19",0,9,0,"NO","YES"
13,18,"D18",0,9,0,"NO","YES"
13,17,"D17",0,9,0,"NO","YES"
13,16,"D16",0,9,0,"NO","YES"
13,15,"D15",0,9,0,"NO","YES"
13,14,"D14",0,9,0,"NO","YES"
13,13,"D13",0,9,0,"NO","YES"
13,12,"D12",1,0,8,"NO","NO"
13,11,"D11",1,0,8,"NO","NO"
13,10,"D10",1,0,8,"NO","NO"
13,9,"D9",1,0,8,"NO","NO"
13,8,"D8",1,0,8,"NO","NO"
13,7,"D7",1,1,7,"NO","YES"
13,6,"D6",1,1,7,"NO","YES"
13,5,"D5",1,1,7,"NO","YES"
13,4,"D4",1,1,7,"NO","YES"
13,3,"D3",1,1,7,"NO","YES"
13,2,"D2",1,1,7,"NO","YES"
13,1,"D1",1,1,7,"NO","YES"
12,24,"E24",1,1,7,"NO","YES"
12,23,"E23",1,1,7,"NO","YES"
12,22,"E22",1,1,7,"NO","YES"
12,21,"E21",1,1,7,"NO","YES"
12,20,"E20",1,1,7,"NO","YES"
12,19,"E19",1,1,7,"NO","YES"
12,18,"E18",1,1,7,"NO","YES"
12,17,"E17",1,1,7,"NO","YES"
12,16,"E16",1,1,7,"NO","YES"
12,15,"E15",1,1,7,"NO","YES"
12,14,"E14",1,1,7,"NO","YES"
12,13,"E13",1,1,7,"NO","YES"
12,12,"E12",1,1,7,"NO","YES"
12,11,"E11",1,7,1,"NO","YES"
12,10,"E10",1,7,1,"NO","YES"
12,9,"E9",1,7,1,"NO","YES"
12,8,"E8",1,7,1,"NO","YES"
12,7,"E7",1,7,1,"NO","YES"
12,6,"E6",1,7,1,"NO","YES"
12,5,"E5",1,7,1,"NO","YES"
12,4,"E4",1,7,1,"NO","YES"
12,3,"E3",1,7,1,"NO","YES"
12,2,"E2",1,7,1,"NO","YES"
12,1,"E1",1,7,1,"NO","YES"
11,24,"F24",1,7,1,"NO","YES"
11,23,"F23",1,7,1,"NO","YES"
11,22,"F22",1,7,1,"NO","YES"
11,21,"F21",1,7,1,"NO","YES"
11,20,"F20",1,7,1,"NO","YES"
11,19,"F19",1,7,1,"NO","YES"
11,18,"F18",1,7,1,"NO","YES"
11,17,"F17",1,7,1,"NO","YES"
11,16,"F16",1,7,1,"NO","YES"
11,15,"F15",1,8,0,"NO","NO"
11,14,"F14",1,8,0,"NO","NO"
11,13,"F13",1,8,0,"NO","NO"
11,12,"F12",1,8,0,"NO","NO"
11,11,"F11",1,8,0,"NO","NO"
11,10,"F10",2,0,7,"NO","NO"
11,9,"F9",2,0,7,"NO","NO"
11,8,"F8",2,0,7,"NO","NO"
11,7,"F7",2,0,7,"NO","NO"
11,6,"F6",2,0,7,"NO","NO"
11,5,"F5",2,2,5,"NO","YES"
11,4,"F4",2,2,5,"NO","YES"
11,3,"F3",2,2,5,"NO","YES"
11,2,"F2",2,2,5,"NO","YES"
11,1,"F1",2,2,5,"NO","YES"
10,24,"G24",2,2,5,"NO","YES"
10,23,"G23",2,2,5,"NO","YES"
10,22,"G22",2,2,5,"NO","YES"
10,21,"G21",2,2,5,"NO","YES"
10,20,"G20",2,2,5,"NO","YES"
10,19,"G19",2,2,5,"NO","YES"
10,18,"G18",2,2,5,"NO","YES"
10,17,"G17",2,2,5,"NO","YES"
10,16,"G16",2,2,5,"NO","YES"
10,15,"G15",2,2,5,"NO","YES"
10,14,"G14",2,2,5,"NO","YES"
10,13,"G13",2,2,5,"NO","YES"
10,12,"G12",2,2,5,"NO","YES"
10,11,"G11",2,2,5,"NO","YES"
10,10,"G10",2,2,5,"NO","YES"
10,9,"G9",2,5,2,"NO","YES"
10,8,"G8",2,5,2,"NO","YES"
10,7,"G7",2,5,2,"NO","YES"
10,6,"G6",2,5,2,"NO","YES"
10,5,"G5",2,5,2,"NO","YES"
10,4,"G4",2,5,2,"NO","YES"
10,3,"G3",2,5,2,"NO","YES"
10,2,"G2",2,5,2,"NO","YES"
10,1,"G1",2,5,2,"NO","YES"
9,24,"H24",2,5,2,"NO","YES"
9,23,"H23",2,5,2,"NO","YES"
9,22,"H22",2,5,2,"NO","YES"
9,21,"H21",2,5,2,"NO","YES"
9,20,"H20",2,5,2,"NO","YES"
9,19,"H19",2,5,2,"NO","YES"
9,18,"H18",2,5,2,"NO","YES"
9,17,"H17",2,5,2,"NO","YES"
9,16,"H16",2,5,2,"NO","YES"
9,15,"H15",2,5,2,"NO","YES"
9,14,"H14",2,5,2,"NO","YES"
9,13,"H13",2,7,0,"NO","NO"
9,12,"H12",2,7,0,"NO","NO"
9,11,"H11",2,7,0,"NO","NO"
9,10,"H10",2,7,0,"NO","NO"
9,9,"H9",2,7,0,"NO","NO"
9,8,"H8",3,0,6,"NO","NO"
9,7,"H7",3,0,6,"NO","NO"
9,6,"H6",3,0,6,"NO","NO"
9,5,"H5",3,0,6,"NO","NO"
9,4,"H4",3,0,6,"NO","NO"
9,3,"H3",3,3,3,"NO","YES"
9,2,"H2",3,3,3,"NO","YES"
9,1,"H1",3,3,3,"NO","YES"
8,24,"I24",3,3,3,"NO","YES"
8,23,"I23",3,3,3,"NO","YES"
8,22,"I22",3,3,3,"NO","YES"
8,21,"I21",3,3,3,"NO","YES"
8,20,"I20",3,3,3,"NO","YES"
8,19,"I19",3,3,3,"NO","YES"
8,18,"I18",3,3,3,"NO","YES"
8,17,"I17",3,3,3,"NO","YES"
8,16,"I16",3,3,3,"NO","YES"
8,15,"I15",3,3,3,"NO","YES"
8,14,"I14",3,3,3,"NO","YES"
8,13,"I13",3,3,3,"NO","YES"
8,12,"I12",3,3,3,"NO","YES"
8,11,"I11",3,3,3,"NO","YES"
8,10,"I10",3,3,3,"NO","YES"
8,9,"I9",3,3,3,"NO","YES"
8,8,"I8",3,3,3,"NO","YES"
8,7,"I7",3,6,0,"NO","NO"
8,6,"I6",3,6,0,"NO","NO"
8,5,"I5",3,6,0,"NO","NO"
8,4,"I4",3,6,0,"NO","NO"
8,3,"I3",3,6,0,"NO","NO"
8,2,"I2",4,0,5,"NO","NO"
8,1,"I1",4,0,5,"NO","NO"
7,24,"J24",4,0,5,"NO","NO"
7,23,"J23",4,0,5,"NO","NO"
7,22,"J22",4,0,5,"NO","NO"
7,21,"J21",4,5,0,"NO","NO"
7,20,"J20",4,5,0,"NO","NO"
7,19,"J19",4,5,0,"NO","NO"
7,18,"J18",4,5,0,"NO","NO"
7,17,"J17",4,5,0,"NO","NO"
7,16,"J16",5,0,4,"NO","NO"
7,15,"J15",5,0,4,"NO","NO"
7,14,"J14",5,0,4,"NO","NO"
7,13,"J13",5,0,4,"NO","NO"
7,12,"J12",5,0,4,"NO","NO"
7,11,"J11",5,2,2,"NO","YES"
7,10,"J10",5,2,2,"NO","YES"
7,9,"J9",5,2,2,"NO","YES"
7,8,"J8",5,2,2,"NO","YES"
7,7,"J7",5,2,2,"NO","YES"
7,6,"J6",5,2,2,"NO","YES"
7,5,"J5",5,2,2,"NO","YES"
7,4,"J4",5,2,2,"NO","YES"
7,3,"J3",5,2,2,"NO","YES"
7,2,"J2",5,2,2,"NO","YES"
7,1,"J1",5,2,2,"NO","YES"
6,24,"K24",5,2,2,"NO","YES"
6,23,"K23",5,2,2,"NO","YES"
6,22,"K22",5,2,2,"NO","YES"
6,21,"K21",5,2,2,"NO","YES"
6,20,"K20",5,2,2,"NO","YES"
6,19,"K19",5,2,2,"NO","YES"
6,18,"K18",5,2,2,"NO","YES"
6,17,"K17",5,2,2,"NO","YES"
6,16,"K16",5,2,2,"NO","YES"
6,15,"K15",5,4,0,"NO","NO"
6,14,"K14",5,4,0,"NO","NO"
6,13,"K13",5,4,0,"NO","NO"
6,12,"K12",5,4,0,"NO","NO"
6,11,"K11",5,4,0,"NO","NO"
6,10,"K10",6,0,3,"NO","NO"
6,9,"K9",6,0,3,"NO","NO"
6,8,"K8",6,0,3,"NO","NO"
6,7,"K7",6,0,3,"NO","NO"
6,6,"K6",NA,NA,NA,"NO","NO"
6,5,"K5",NA,NA,NA,"NO","NO"
6,4,"K4",6,0,3,"NO","NO"
6,3,"K3",6,3,0,"NO","NO"
6,2,"K2",6,3,0,"NO","NO"
6,1,"K1",6,3,0,"NO","NO"
5,24,"L24",6,3,0,"NO","NO"
5,23,"L23",6,3,0,"NO","NO"
5,22,"L22",7,0,2,"NO","NO"
5,21,"L21",7,0,2,"NO","NO"
5,20,"L20",7,0,2,"NO","NO"
5,19,"L19",7,0,2,"NO","NO"
5,18,"L18",7,0,2,"NO","NO"
5,17,"L17",7,1,1,"NO","YES"
5,16,"L16",7,1,1,"NO","YES"
5,15,"L15",7,1,1,"NO","YES"
5,14,"L14",7,1,1,"NO","YES"
5,13,"L13",7,1,1,"NO","YES"
5,12,"L12",7,1,1,"NO","YES"
5,11,"L11",7,1,1,"NO","YES"
5,10,"L10",7,1,1,"NO","YES"
5,9,"L9",7,1,1,"NO","YES"
5,8,"L8",7,1,1,"NO","YES"
5,7,"L7",7,1,1,"NO","YES"
5,6,"L6",7,1,1,"NO","YES"
5,5,"L5",7,1,1,"NO","YES"
5,4,"L4",7,1,1,"NO","YES"
5,3,"L3",7,1,1,"NO","YES"
5,2,"L2",7,1,1,"NO","YES"
5,1,"L1",7,1,1,"NO","YES"
4,24,"M24",7,1,1,"NO","YES"
4,23,"M23",7,1,1,"NO","YES"
4,22,"M22",7,1,1,"NO","YES"
4,21,"M21",7,2,0,"NO","NO"
4,20,"M20",7,2,0,"NO","NO"
4,19,"M19",7,2,0,"NO","NO"
4,18,"M18",7,2,0,"NO","NO"
4,17,"M17",7,2,0,"NO","NO"
4,16,"M16",8,0,1,"NO","NO"
4,15,"M15",8,0,1,"NO","NO"
4,14,"M14",8,0,1,"NO","NO"
4,13,"M13",8,0,1,"NO","NO"
4,12,"M12",8,0,1,"NO","NO"
4,11,"M11",8,1,0,"NO","NO"
4,10,"M10",8,1,0,"NO","NO"
4,9,"M9",8,1,0,"NO","NO"
4,8,"M8",8,1,0,"NO","NO"
4,7,"M7",8,1,0,"NO","NO"
4,6,"M6",9,0,0,"NO","YES"
4,5,"M5",9,0,0,"NO","YES"
4,4,"M4",9,0,0,"NO","YES"
4,3,"M3",9,0,0,"NO","YES"
4,2,"M2",9,0,0,"NO","YES"
4,1,"M1",9,0,0,"NO","YES"
3,24,"N24",9,0,0,"NO","YES"
3,23,"N23",9,0,0,"NO","YES"
3,22,"N22",9,0,0,"NO","YES"
3,21,"N21",9,0,0,"NO","YES"
3,20,"N20",9,0,0,"NO","YES"
3,19,"N19",9,0,0,"NO","YES"
3,18,"N18",9,0,0,"NO","YES"
3,17,"N17",9,0,0,"NO","YES"
3,16,"N16",9,0,0,"NO","YES"
3,15,"N15",9,0,0,"NO","YES"
3,14,"N14",9,0,0,"NO","YES"
3,13,"N13",9,0,0,"NO","YES"
3,12,"N12",9,0,0,"NO","YES"
3,11,"N11",9,0,0,"NO","YES"
3,10,"N10",1,1,1,"NO","NO"
3,9,"N9",1,1,1,"NO","NO"
3,8,"N8",1,1,1,"NO","NO"
3,7,"N7",1,1,1,"NO","NO"
3,6,"N6",1,1,1,"NO","NO"
3,5,"N5",1,1,1,"NO","NO"
3,4,"N4",1,1,1,"NO","NO"
3,3,"N3",1,1,1,"NO","NO"
3,2,"N2",1,1,1,"NO","NO"
3,1,"N1",1,1,1,"NO","NO"
2,24,"O24",0,0,90,"NO","NO"
2,23,"O23",0,90,0,"NO","NO"
2,22,"O22",90,0,0,"NO","NO"
2,21,"O21",70,10,10,"NO","NO"
2,20,"O20",70,10,10,"NO","NO"
2,19,"O19",70,10,10,"NO","NO"
2,18,"O18",50,20,20,"NO","NO"
2,17,"O17",50,20,20,"NO","NO"
2,16,"O16",50,20,20,"NO","NO"
2,15,"O15",30,30,30,"NO","NO"
2,14,"O14",30,30,30,"NO","NO"
2,13,"O13",30,30,30,"NO","NO"
2,12,"O12",20,50,20,"NO","NO"
2,11,"O11",20,50,20,"NO","NO"
2,10,"O10",20,50,20,"NO","NO"
2,9,"O9",20,20,50,"NO","NO"
2,8,"O8",20,20,50,"NO","NO"
2,7,"O7",20,20,50,"NO","NO"
2,6,"O6",10,70,10,"NO","NO"
2,5,"O5",10,70,10,"NO","NO"
2,4,"O4",10,70,10,"NO","NO"
2,3,"O3",10,10,70,"NO","NO"
2,2,"O2",10,10,70,"NO","NO"
2,1,"O1",10,10,70,"NO","NO"
1,24,"P24",NA,NA,NA,"NO","NO"
1,23,"P23",NA,NA,NA,"NO","NO"
1,22,"P22",NA,NA,NA,"NO","NO"
1,21,"P21",NA,NA,NA,"NO","NO"
1,20,"P20",3,3,3,"YES","NO"
1,19,"P19",3,3,3,"YES","NO"
1,18,"P18",3,3,3,"YES","NO"
1,17,"P17",3,3,3,"YES","NO"
1,16,"P16",3,3,3,"YES","NO"
1,15,"P15",3,3,3,"YES","NO"
1,14,"P14",3,3,3,"YES","NO"
1,13,"P13",3,3,3,"YES","NO"
1,12,"P12",3,3,3,"YES","NO"
1,11,"P11",3,3,3,"YES","NO"
1,10,"P10",3,3,3,"YES","NO"
1,9,"P9",3,3,3,"YES","NO"
1,8,"P8",3,3,3,"YES","NO"
1,7,"P7",3,3,3,"YES","NO"
1,6,"P6",3,3,3,"YES","NO"
1,5,"P5",3,3,3,"YES","NO"
1,4,"P4",3,3,3,"YES","NO"
1,3,"P3",3,3,3,"YES","NO"
1,2,"P2",NA,NA,NA,"NO","NO"
1,1,"P1",NA,NA,NA,"NO","NO"
