"cell_name","cell_line_demuxlet","demuxlet_cls"
"P10","HCC827","SNG"
"G22","H8383","DBL"
"I13","A549","SNG"
"H20","H2228","SNG"
"N14","A549","SNG"
"K14","HCC827","DBL"
"I10","A549","SNG"
"I17","HCC827","SNG"
"I6","HCC827","SNG"
"G16","H8383","SNG"
"D1","A549","SNG"
"F19","A549","DBL"
"F7","H1975","SNG"
"L2","H1975","DBL"
"P12","H8383","SNG"
"I7","H8383","DBL"
"G24","H8383","SNG"
"F9","A549","SNG"
"H24","H2228","DBL"
"K2","A549","SNG"
"M23","A549","SNG"
"K22","H8383","DBL"
"D23","H1975","DBL"
"K8","HCC827","SNG"
"L19","H8383","SNG"
"B19","HCC827","SNG"
"N5","A549","DBL"
"G5","A549","DBL"
"H21","HCC827","SNG"
"H15","H1975","SNG"
"P22","H8383","DBL"
"E5","H8383","SNG"
"K15","A549","SNG"
"P3","H1975","SNG"
"C5","A549","SNG"
"H10","A549","SNG"
"P18","A549","DBL"
"C7","A549","DBL"
"K13","H2228","SNG"
"A22","H2228","SNG"
"M7","H1975","SNG"
"C24","A549","SNG"
"C10","A549","SNG"
"K7","H2228","SNG"
"A15","A549","SNG"
"I5","H2228","SNG"
"O4","H8383","SNG"
"B3","H2228","DBL"
"M24","HCC827","DBL"
"I15","H2228","SNG"
"M15","H8383","SNG"
"F23","H8383","DBL"
"A8","A549","SNG"
"O15","H8383","SNG"
"A16","A549","SNG"
"L6","A549","SNG"
"E8","A549","SNG"
"L14","H1975","DBL"
"F3","A549","SNG"
"J10","A549","SNG"
"N8","A549","SNG"
"D21","H1975","SNG"
"C16","A549","SNG"
"H9","A549","SNG"
"B2","H8383","SNG"
"E9","A549","SNG"
"O21","A549","SNG"
"C1","A549","SNG"
"H5","H2228","DBL"
"G21","H8383","SNG"
"F5","H8383","SNG"
"C8","A549","DBL"
"L10","A549","SNG"
"E24","H1975","DBL"
"I8","H1975","SNG"
"I20","A549","SNG"
"I12","H1975","DBL"
"N6","A549","SNG"
"D6","A549","SNG"
"B20","H1975","SNG"
"O12","A549","SNG"
"E15","H1975","SNG"
"M6","A549","DBL"
"F1","H2228","SNG"
"M16","H8383","SNG"
"D3","HCC827","DBL"
"I22","A549","DBL"
"H11","H2228","SNG"
"I1","HCC827","SNG"
"O3","H8383","DBL"
"L15","A549","AMB"
"A19","A549","DBL"
"B11","A549","SNG"
"O22","A549","DBL"
"E19","A549","SNG"
"J2","H1975","SNG"
"A11","H2228","SNG"
"K10","H8383","SNG"
"I11","A549","SNG"
"N18","A549","DBL"
"E18","H8383","SNG"
"L20","H1975","SNG"
"G2","HCC827","SNG"
"C17","A549","DBL"
"N22","A549","DBL"
"D12","A549","SNG"
"J1","A549","SNG"
"J13","H1975","DBL"
"D20","A549","SNG"
"N11","A549","SNG"
"B22","H8383","SNG"
"H12","HCC827","SNG"
"D9","H2228","SNG"
"H23","A549","DBL"
"C9","H8383","DBL"
"D7","H8383","SNG"
"H17","H8383","SNG"
"M9","H8383","SNG"
"G15","H2228","SNG"
"L16","H8383","SNG"
"O6","H1975","DBL"
"D2","A549","DBL"
"K24","H8383","SNG"
"G6","A549","SNG"
"B14","H2228","SNG"
"N15","H8383","SNG"
"A10","H2228","SNG"
"D19","A549","SNG"
"A18","H1975","SNG"
"B18","A549","SNG"
"B5","A549","SNG"
"H22","H1975","DBL"
"H7","H1975","DBL"
"G3","H8383","DBL"
"J14","H8383","SNG"
"H3","A549","SNG"
"E12","A549","SNG"
"G20","H2228","SNG"
"L4","HCC827","SNG"
"J11","H8383","SNG"
"F8","A549","DBL"
"E23","H8383","DBL"
"L9","H1975","SNG"
"G18","H1975","SNG"
"E17","H2228","SNG"
"L12","H8383","SNG"
"O20","H1975","SNG"
"J21","A549","SNG"
"B24","H8383","SNG"
"L11","H8383","SNG"
"I24","H2228","DBL"
"K21","A549","SNG"
"N7","H8383","SNG"
"O18","H2228","SNG"
"D10","H1975","SNG"
"K23","H8383","DBL"
"B8","A549","DBL"
"J17","A549","SNG"
"I16","A549","DBL"
"P9","H2228","DBL"
"J8","A549","SNG"
"D4","H1975","DBL"
"I3","H8383","SNG"
"L1","A549","SNG"
"I9","A549","DBL"
"C4","A549","SNG"
"O1","H1975","SNG"
"O16","A549","SNG"
"C15","A549","SNG"
"A12","HCC827","SNG"
"J20","A549","SNG"
"B7","A549","SNG"
"I14","A549","SNG"
"F20","A549","DBL"
"A13","H8383","SNG"
"P16","H8383","SNG"
"J12","A549","DBL"
"L7","A549","SNG"
"D24","HCC827","SNG"
"O17","H8383","SNG"
"G7","H2228","SNG"
"M13","H1975","SNG"
"J22","HCC827","SNG"
"C22","H1975","DBL"
"L13","HCC827","SNG"
"D8","A549","SNG"
"B1","A549","SNG"
"A6","H8383","SNG"
"O14","A549","DBL"
"P8","A549","SNG"
"F6","H8383","SNG"
"F16","H8383","SNG"
"D13","A549","SNG"
"A9","H1975","SNG"
"G4","A549","SNG"
"G9","A549","SNG"
"M10","A549","SNG"
"I18","A549","SNG"
"M4","H1975","DBL"
"L22","HCC827","DBL"
"B10","H8383","SNG"
"K12","H2228","SNG"
"A20","H8383","SNG"
"J24","H1975","DBL"
"N20","A549","SNG"
"J6","HCC827","SNG"
"M20","A549","SNG"
"O8","H1975","SNG"
"O2","A549","SNG"
"B9","A549","DBL"
"C12","A549","SNG"
"L18","H2228","SNG"
"N1","A549","SNG"
"B12","A549","SNG"
"F11","H2228","SNG"
"N19","HCC827","DBL"
"J19","H8383","SNG"
"H18","H1975","DBL"
"D5","H2228","DBL"
"G17","A549","SNG"
"C14","HCC827","DBL"
"K9","A549","DBL"
"F17","H8383","SNG"
"P14","H1975","SNG"
"H8","H2228","SNG"
"O13","A549","SNG"
"C3","A549","SNG"
"N3","H2228","DBL"
"H19","H8383","SNG"
"D15","H2228","SNG"
"C18","H1975","SNG"
"E4","A549","SNG"
"M8","H8383","SNG"
"G1","H2228","SNG"
"O9","H8383","DBL"
"G23","H8383","DBL"
"D11","H8383","SNG"
"M2","HCC827","SNG"
"M5","H1975","DBL"
"G13","H2228","SNG"
"O10","H2228","DBL"
"A3","H8383","SNG"
"P5","A549","SNG"
"J4","H8383","SNG"
"N16","H8383","SNG"
"C20","H8383","SNG"
"H6","A549","SNG"
"G19","H8383","SNG"
"E16","HCC827","SNG"
"E6","A549","SNG"
"F21","H1975","DBL"
"A1","H1975","SNG"
"G8","H8383","SNG"
"F24","H8383","SNG"
"K3","A549","SNG"
"N23","HCC827","DBL"
"P17","H8383","SNG"
"N17","H2228","SNG"
"M1","A549","SNG"
"L24","H1975","SNG"
"A14","A549","DBL"
"A4","H8383","SNG"
"F4","A549","DBL"
"I21","H8383","SNG"
"O11","H8383","SNG"
"B23","H1975","SNG"
"H4","HCC827","DBL"
"E11","HCC827","SNG"
"D14","HCC827","SNG"
"J3","A549","SNG"
"K18","H8383","SNG"
"B16","A549","SNG"
"G12","H8383","SNG"
"J5","H1975","SNG"
"N2","A549","SNG"
"F10","A549","SNG"
"N21","A549","SNG"
"H2","A549","SNG"
"B17","A549","SNG"
"H16","A549","SNG"
"G11","H8383","SNG"
"F2","H2228","SNG"
"P4","A549","SNG"
"F14","HCC827","SNG"
"F18","A549","SNG"
"J9","H2228","SNG"
"F13","H8383","SNG"
"O7","H2228","SNG"
"E10","H8383","SNG"
"C6","H8383","SNG"
"I4","H8383","SNG"
"B21","A549","DBL"
"J7","A549","DBL"
"A2","A549","SNG"
"N10","A549","SNG"
"D18","A549","SNG"
"M22","H1975","DBL"
"D17","A549","SNG"
"P6","A549","DBL"
"O24","HCC827","DBL"
"A21","A549","SNG"
"E7","A549","SNG"
"H14","H8383","SNG"
"A5","A549","DBL"
"B13","HCC827","SNG"
"J23","HCC827","DBL"
"K20","A549","SNG"
"M3","H2228","SNG"
"O5","A549","DBL"
"B4","A549","SNG"
"A23","H1975","SNG"
"E14","HCC827","SNG"
"P19","H1975","DBL"
"M11","A549","SNG"
"D16","H8383","SNG"
"C11","HCC827","SNG"
"A24","H8383","SNG"
"J16","A549","SNG"
"A7","A549","SNG"
"O19","HCC827","SNG"
"J15","H1975","SNG"
"C23","H8383","DBL"
"H13","A549","SNG"
"I23","A549","SNG"
"E13","H8383","SNG"
"P15","H2228","SNG"
"L17","A549","SNG"
"L5","A549","SNG"
"N24","H8383","SNG"
"E20","A549","SNG"
"K4","H8383","SNG"
"K1","A549","DBL"
"E22","H8383","SNG"
"J18","H8383","SNG"
"N4","A549","SNG"
"E3","A549","SNG"
"C21","H2228","SNG"
"E21","A549","SNG"
"F12","H8383","SNG"
"L21","A549","DBL"
"C19","H1975","SNG"
"H1","A549","SNG"
"P7","A549","DBL"
"K11","A549","SNG"
"M21","A549","DBL"
"F22","A549","DBL"
"E2","A549","SNG"
"L3","H1975","DBL"
"M12","H8383","DBL"
"C13","H2228","SNG"
"N13","HCC827","SNG"
"M18","HCC827","DBL"
"G10","A549","SNG"
"D22","H2228","DBL"
"E1","H8383","DBL"
"L23","HCC827","DBL"
"L8","H2228","SNG"
"N9","H2228","SNG"
"G14","H2228","SNG"
"C2","H1975","SNG"
